"HolderAddress","Balance","PendingBalanceUpdate"
"0xc392133eea695603b51a5d5de73655d571c2ce51","8910207.90883223","No"
"0x0a653bd08e2b0a80d1d212d33032953db8298efd","100463.008068988","No"
"0xc42c23c8287050c6d0cda3146b89efbb8ab7c748","122.140222403323","No"
"0x629b1166064abc68a4ea392e37cd4133103d7516","28842.4083139273","No"
"0xbddafe3c39e7c7bd313e6551e54628eb9ce163dc","5.25198442712781","No"
"0xc00696aaa55cdd53eb25e83ccf23552db5004748","3.87799887867183","No"
"0x4257bc72ea94e5f7459190dee12236ee7ee0203c","0.489839196753275","No"
"0x051203d8cbd5bec7c146f2069732f2f702090bc6","78.0028265079673","No"
"0x26c6a9d6d013b9719002026b32d4ec7ad9d1f264","54.0627487573865","No"
"0xe5eca5f78a45be012d6ef416d5e6765d1ceab6f0","83.2444980281327","No"
"0x0f2f9599c19cddd869d0bbf7bc3bfe354dd5b40a","67.5558657890646","No"
"0x93df2bea2e66d8c4fe547262bb07975d2774469d","0.000462385760841906","No"
"0x9470ad737b2942d2e8ac9fac80781291464ab6b5","1139.36007216027","No"
"0x59932c8e0b3cf2d9f890bb5f4d30291086e651f9","807.221755845","No"
"0x2fcd6260c2dd56601ae9cd030222933548f60c28","176.017905142631","No"
"0x230a923945889e808f8d546795e21c6a26213394","777.674527324367","No"
"0x65b435425e7928c594997f38681b542234be91d3","10.6993334982219","No"
"0xc34a7c65aa08cb36744bda8eeec7b8e9891e147c","8813.3754541231","No"
"0xa5f7a39e55d7878bc5bd754ee5d6bd7a7662355b","25015.3260315678","No"
"0x344215ca4219520166c7478c0afb07c92e14b790","29.9290754681114","No"
"0x26f41bd7925e343a5c1a058e36d1295e80e931bd","1","No"
"0x388e2ac942b8f08d1ce55a5188e0dd3988b3a43c","124.998246763065","No"
"0xf9ae06309ca551cdb2fb72831efa2d4fe67cec87","5.269503043E-09","No"
"0xef6ea539e3c71c1399c9d12c2b3eda2a0dff9c9e","140.79419504172","No"
"0xdca7125336a3ada3ece34860efebc230b6e3cc2e","2616.96004545006","No"
"0x89d11c2cf067ab7359c002e348397b25579f2c96","492.698355079538","No"
